feature,mean_importance
AgeSelectionWhenRich,-0.00010751420265317693
TitleEmbarkedSelection,-9.316442551294596e-05
Rich,-8.09164014013121e-05
AgeSelectionWhenMiddle,-8.250717474688114e-06
Sex,-5.469061088709919e-06
SibSp,-1.6672338482376153e-06
FamilyCombo,0.0
TicketCategory,1.6004931782882207e-06
MiddleClass,4.462530446006107e-06
AgeSelectionWhenPoor,5.3883894126362047e-05
Parch,0.00010702871479885415
FamilySize,0.00014592846159867053
Fare,0.0001800931890060165
Title,0.00019564338631617478
Poor,0.0002974694795142752
Embarked,0.0006414455847476447
Survived,3.5389962647823374
