feature,mean_importance
Fare_10-20,-0.0034269466417979457
Age_20-30,-0.003042794780029723
Fare_50+,-0.002975977345070524
Age_30-40,-0.002167981581390188
Age_10-20,-4.6662646745299075e-05
Embarked_C,0.0002731985067507825
Fare_20-50,0.0004792577084571703
Parch,0.0005410985791560186
Embarked_Q,0.001099559286965013
Fare_<10,0.0017273560640892471
Age_40-50,0.0027341458860270394
Embarked_S,0.004373747949869744
Ticket,0.005260775372641413
Age_50+,0.011941465527231942
Age_<10,0.03171930171341787
SibSp,0.031980080974089296
Pclass,0.0686984533564487
Sex,0.40362731806794117
