feature,mean_importance
Fare_<10,-0.005233483124872096
Age_20-30,-0.002183871751542943
Fare_50+,-0.00200040548747471
Age_30-40,-0.0011370613638916004
Fare_10-20,-0.0007541961415935772
Embarked_S,-0.0006958886381561946
Age_10-20,-0.0006735586627964584
SibSp,-0.0005440319512108105
Fare_20-50,-0.00031978908731962187
Embarked_C,9.770411754284058e-06
Parch,0.0004440564788774637
Age_40-50,0.0013787402619884204
Age_50+,0.0015713081420038245
Embarked_Q,0.004678601053810949
Ticket,0.01870327769879666
Age_<10,0.029330038402198978
Pclass,0.0866328904116442
Sex,0.43758398826124695
