feature,shap_importance
Sex,0.20270280189010445
Pclass,0.09980207248954048
Ticket,0.05212943589319397
Age_<10,0.028054160003096202
Fare_50+,0.020832495650023347
Fare_<10,0.008378307515763139
Embarked_Q,0.007821968218160124
Age_30-40,0.007507877426469164
Embarked_S,0.007293184101559425
SibSp,0.005089579759990817
Parch,0.004944471483683571
Fare_20-50,0.00426557223780658
Embarked_C,0.003579604475116087
Age_20-30,0.0035323344790303057
Fare_10-20,0.002624423976705431
Age_50+,0.0025878769793833624
Age_10-20,0.0018475499130560197
Age_40-50,0.0016621056039770213
