feature,mean_importance
Ticket,-0.00791560252210315
Age_20-30,-0.0021720891084854644
Fare_10-20,-0.0015260978231952382
Fare_<10,-0.0005439932000562697
SibSp,-0.00024760780175406836
Age_10-20,-0.00014775147267881428
Age_30-40,0.0002805041692312549
Fare_50+,0.0013586139914674722
Fare_20-50,0.0019038020019071177
Age_50+,0.0020360356156954086
Embarked_Q,0.0025561859760307006
Embarked_C,0.0028054063697672714
Age_40-50,0.00310210020123215
Parch,0.0038331248765339997
Embarked_S,0.01567984738027215
Age_<10,0.04151563352614902
Pclass,0.12023528072621854
Sex,0.4788616181064141
