feature,shap_importance
Sex,0.20669702371948756
Pclass,0.10902589736293412
Age_<10,0.03747677489699893
Fare_50+,0.032513980761204014
Ticket,0.014980779337723628
Fare_<10,0.014790388032030687
Embarked_S,0.014267080362641488
Fare_20-50,0.012130672275387768
Age_30-40,0.010459709653250776
Age_20-30,0.010356192967822387
Age_50+,0.008931456943254937
Parch,0.00640801100113296
SibSp,0.0055760048638941375
Embarked_C,0.004353713822698727
Embarked_Q,0.0040448451918908244
Fare_10-20,0.0038086292144134063
Age_10-20,0.002537689924317568
Age_40-50,0.002338228996517369
