feature,shap_importance
Sex,1.3508826725759182
Pclass,0.6210005757736217
Ticket,0.5117663168162643
Age_<10,0.2735713827744974
Fare_50+,0.1092945397326598
Age_20-30,0.10725997104877551
SibSp,0.10050687546131143
Fare_20-50,0.09127947249685468
Fare_<10,0.0805797247979042
Age_50+,0.07993906883263743
Parch,0.06242877034620012
Embarked_C,0.06145643794183578
Embarked_S,0.038982498647015924
Age_40-50,0.03632688916182334
Embarked_Q,0.03321078032255136
Age_30-40,0.03167743952502237
Fare_10-20,0.026286857737288095
Age_10-20,0.01997303321090345
