feature,mean_importance
Ticket,-0.02844517889911872
Parch,-0.01640651270976239
Age_10-20,-0.015444248193753628
Age_20-30,-0.0150582821277486
Embarked_C,-0.005018312809074587
Embarked_S,-0.0026040489465612325
Age_30-40,0.0011521623276796512
Embarked_Q,0.001222428313982471
Fare_50+,0.004370091586079728
Age_40-50,0.011498851882280304
Fare_<10,0.011872239391894435
Fare_20-50,0.015855835745802026
Age_50+,0.01617229324328886
Fare_10-20,0.029777586823602674
SibSp,0.044177634360135
Age_<10,0.08884134184335553
Pclass,0.1174336044198018
Sex,1.143310524697121
