feature,mean_importance
Parch,-0.11924192776161005
Fare_50+,-0.07638354087611851
Age_50+,-0.06665323835642394
Fare_20-50,-0.044896928760548405
Age_20-30,-0.02533657494501378
Ticket,-0.02033087288374551
Fare_10-20,-0.011673678004224941
SibSp,-0.008517000167133349
Embarked_C,-0.005562954730926073
Age_40-50,-0.003219738042267539
Age_10-20,0.004122296286665805
Fare_<10,0.00798578255711302
Age_30-40,0.030750640342169077
Embarked_Q,0.036987149284540055
Embarked_S,0.04769109904959314
Age_<10,0.05109478962324565
Pclass,0.12665177533607058
Sex,1.1504421404012342
